start,end,rms_r,rms_s,rms_t,imbalance,anomaly_score
0,1000,2.2927880189524896,2.338089314903196,1.7536620234803353,0.26546904095885254,0
1000,2000,2.346985041322735,2.2668219374188006,1.7530986437443907,0.26310935599729046,0
2000,3000,2.3224437726916536,2.2365801255683944,1.8182354841167008,0.2202551054260936,0
3000,4000,2.2505216266533674,2.2848354238349096,1.8398699028885221,0.20215686696203267,0
4000,5000,2.247597860842755,2.3505215629992287,1.7815095100705716,0.24756735459919982,0
5000,6000,2.3152495557000563,2.3147015429925526,1.7397235753342168,0.27117647343186735,0
6000,7000,2.350042857900279,2.24337064146233,1.769558274364611,0.2522871980495215,0
7000,8000,2.2935640922947407,2.231185795031024,1.8355501533956704,0.20281227804372853,0
8000,9000,2.2391480229314222,2.304513410986669,1.8190880429469538,0.21508675476463965,0
9000,10000,2.2619353414556507,2.3444959482419008,1.7640685581288351,0.2563815609001919,0
10000,11000,2.3483886040979893,2.3014171573201443,1.7503715800620865,0.27151466219153036,0
11000,12000,2.337045399918284,2.2427607769750546,1.7938461969944572,0.23699021646468021,0
12000,13000,2.272398575032122,2.2628337583289526,1.8376746284018393,0.20271399700967702,0
13000,14000,2.2368874894735007,2.335320253334704,1.8040933298835478,0.2307480198003176,0
14000,15000,2.285881719971388,2.3378748688173547,1.744646229107192,0.2682369108477504,0
15000,16000,2.3591333631837688,2.2649914889126865,1.7505097309336253,0.26749390388024746,0
16000,17000,2.3266188044923837,2.221128140768497,1.8112597756675857,0.22228992215738813,0
17000,18000,2.256630137107864,2.264374096881551,1.8387754335302569,0.19882900091991795,0
18000,19000,2.2367531885696526,2.331946815514218,1.7898139730490101,0.2363435606297827,0
19000,20000,2.3002123317814536,2.3289250841470848,1.748397783819872,0.26715282016846054,0
20000,21000,2.351277558165747,2.2649896979922013,1.7621198462926664,0.25979275758042336,0
21000,22000,2.298285634943121,2.22835808627725,1.8150423867107968,0.21324054402186074,0
22000,23000,2.246699469799043,2.2960108476789283,1.8252496873232207,0.21125750512290362,0
23000,24000,2.256322573941769,2.351277105255256,1.7742198394985402,0.2526381904659572,0
24000,25000,2.324939042970531,2.2986437575560434,1.735780784659992,0.2717461277712298,0
25000,26000,2.3429015550534538,2.225279327961891,1.7827481381769206,0.24116400428775434,0
26000,27000,2.2771318291852367,2.242473468116665,1.8349217928347084,0.20078990851861514,0
